,Car_Kilometers,Car_Engine_Sizes,Car_Seat_Numbers,Car_Models_LX,Car_Models_Land Cruiser,Car_Models_Range Rover,Car_Models_S Class,Car_Brands_Brand:Lexus,Car_Brands_Brand:Mercedes,Car_Brands_Brand:Range Rover,Car_Gear_Types_Automatic,Car_Gear_Types_CVT,Car_Drivetrains_AWD,Car_Drivetrains_Double (4x4),Car_Drivetrains_FWD,Car_Extensions_500,Car_Exterior_Colors_Black,Car_Interior_Colors_Camel,Car_Interior_Colors_Grey,Car_Origins_Saudi
45,-0.8928410874460561,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
46,-1.3492436620470483,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
47,-0.7041532323163332,-0.9418381221933737,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
48,-0.31751215956212986,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
49,-0.04764804293554537,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
50,-0.15290589974535762,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
51,-0.10545221886004576,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
52,-0.6410694692045048,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
53,-0.23013812180188323,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
54,0.3501156383990763,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True
55,-0.12625754860615654,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
56,0.06827332791665668,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True
